0,1,2,3,4,5,6,7,8,9,10
_id,Serial Number,Armature must not drag,Burnish per MP-367,Check Field Coil Resistance,Check Magnet Coil Resistance,Check Shaft & Hub Freedom Of Rotation,Check Shaft Bore with Go/No-Go,Check Shaft OD with Air Gage,Ensure all Labels are applied,Static Torque,
657daf20122fa666071aa535,00000000--1123140004 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa536,00000000--1123140005 - 5370-273-214,Pass ,Pass ,394,396,Pass ,Pass ,Pass ,Pass ,53,
657daf20122fa666071aa537,00000000--1123140006 - 5370-273-214,Pass ,Pass ,394,394,Pass ,Pass ,Pass ,Pass ,70,
657daf20122fa666071aa538,00000000--1123140007 - 5370-273-214,Pass ,Pass ,390,389,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa539,00000000--1123140008 - 5370-273-214,Pass ,Pass ,389,390,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa53a,00000000--1123140009 - 5370-273-214,Pass ,Pass ,391,392,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa53b,00000000--1123140010 - 5370-273-214,Pass ,Pass ,390,391,Pass ,Pass ,Pass ,Pass ,60,
657daf20122fa666071aa53c,00000000--1123140014 - 5370-273-204,Pass ,Pass ,454,432,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa53d,00000000--1123140015 - 5370-273-204,Pass ,Pass ,455,432,Pass ,Pass ,Pass ,Pass ,30,
657daf20122fa666071aa53e,00000000--1123140016 - 5370-273-204,Pass ,Pass ,457,432,Pass ,Pass ,Pass ,Pass ,25,
657daf20122fa666071aa53f,00000000--1123140017 - 5370-273-204,Pass ,Pass ,433,434,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa540,00000000--1123140018 - 5370-273-204,Pass ,Pass ,457,433,Pass ,Pass ,Pass ,Pass ,40,
657daf20122fa666071aa541,00000000--1123140028 - 5370-169-214,Pass ,null,null,392,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa542,00000000--1123140029 - 5370-169-214,Pass ,null,null,391,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa543,00000000--1123140032 - 5370-273-237,Pass ,Pass ,394,394,Pass ,Pass ,Pass ,Pass ,30,
657daf20122fa666071aa544,00000000--1123140044 - 5370-169-214,Pass ,null,null,391,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa545,00000000--1123140045 - 5370-169-214,Pass ,null,null,391,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa546,00000000--1123140046 - 5370-273-214,Pass ,Pass ,393,391,Pass ,Pass ,Pass ,Pass ,48,
657daf20122fa666071aa547,00000000--1123140048 - 5370-169-209,Pass ,null,null,393,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa548,00000000--1123140056 - 5370-169-214,Pass ,null,null,392,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa549,00000000--1123140057 - 5370-169-209,Pass ,null,null,391,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa54a,00000000--1123140058 - 5370-169-209,Pass ,null,null,393,Pass ,Pass ,Pass ,Pass ,null,
657daf20122fa666071aa54b,00000000--1123140113 - 5370-273-214,Pass ,Pass ,394,null,Pass ,null,null,Pass ,50,
657daf20122fa666071aa54c,00000000--1123140114 - 5370-273-214,Pass ,Pass ,391,null,Pass ,null,null,Pass ,55,
657daf20122fa666071aa54d,00000000--1123140124 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa54e,00000000--1123140125 - 5370-273-214,Pass ,Pass ,395,393,Pass ,Pass ,Pass ,Pass ,50,
657daf20122fa666071aa54f,00000000--1123140126 - 5370-273-214,Pass ,Pass ,393,394,Pass ,Pass ,Pass ,Pass ,65,
657daf20122fa666071aa550,00000000--1123140127 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,45,
657daf20122fa666071aa551,00000000--1123140128 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,48,
657daf20122fa666071aa552,00000000--1123140129 - 5370-273-214,Pass ,Pass ,393,397,Pass ,Pass ,Pass ,Pass ,47,
657daf20122fa666071aa553,00000000--1123140130 - 5370-273-214,Pass ,Pass ,393,394,Pass ,Pass ,Pass ,Pass ,55,
