Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2023-11-23T00:00:00.000-08:00,623378,Kitting,5371-273-003,null,Model Value Stream,720,183,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2023-11-21T00:00:00.000-08:00,623355,Kitting,5371-273-003,null,Model Value Stream,720,191,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2023-12-09T00:00:00.000-08:00,623872,Housing Assembly,5370-169-204,null,Model Value Stream,360,6,null,null,null,null,5370-169-204_BK EM-50-20 90V GEN2,
2023-12-30T00:00:00.000-08:00,623890,Final Assembly,5370-273-248,null,Model Value Stream,600,198,null,null,null,null,5370-273-248_C/B UM-100-1020FBC 24V GEN2,
2024-01-26T00:00:00.000-08:00,623277,Pack Station,5370-169-272,null,Model Value Stream,720,77,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-02-05T00:00:00.000-08:00,623872,Kitting,5370-169-204,null,Model Value Stream,360,74,null,null,null,null,5370-169-204_BK EM-50-20 90V GEN2,
2024-02-29T00:00:00.000-08:00,623707,Kitting,5371-273-045,5.449782,Model Value Stream,720,611,327,Parts by the Cafe.,Incorrect Kitting Standard Time,,5371-273-045_CL BK UM-215-2030 90V,
2024-03-15T00:00:00.000-07:00,623887,Hub-Shaft-Armature Assembly,5370-273-204,null,Model Value Stream,600,17,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2024-03-20T00:00:00.000-07:00,623755,Hub-Shaft-Armature Assembly,5370-273-323,null,Model Value Stream,600,4,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2024-04-05T00:00:00.000-07:00,623531,Housing Assembly,5370-169-272,null,Model Value Stream,720,463,null,null,null,null,5370-169-272_GEN2 EUM-180-20MBFB 90V,
2024-06-09T00:00:00.000-07:00,623884,Burnish and Inspection,5370-273-204,1.41661,Model Value Stream,600,685,85,Wait for housing- slower than Cycle time ,Incorrect Standard Work,,5370-273-204_C/B UM-50-1020 90V GEN2,
2024-07-04T00:00:00.000-07:00,623882,Pack Station,5370-169-289,null,Model Value Stream,720,87,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2024-07-11T00:00:00.000-07:00,623887,Pack Station,5370-273-204,null,Model Value Stream,600,68,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
