Valid Remaining Qty,SO Created Date,Material,Old material number,Name,Item category group,Overall CreditStatus,Sales document,Sales Document Item,Schedule line number,Production scheduler,Remaining Quantity,Unrestricted On-hand Qty,Remaining Net Value,ATP Confirm Date,Requested (First) Date,MRP Controller (Materials Planner),Kanban Armature,Field Shima Shell,Magnet Shima Shell,Casting,Casting 2,RYG,Comments,Customer Expedite/late delivery explanation
+,1/29/2021,30189025,5301-749-001,APPLIED INDUSTRIAL TECH,NORM,A,2134322,10,2,683,6,1,865.14,7/21/2021,1/29/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,4/12 Teams
+,2/1/2021,30179220,5304-541-001,MOTION INDUSTRIES INC,NORM,A,2135271,10,2,683,1,null,615.52,2/24/2021,2/2/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,2/3 Teams
+,2/5/2021,30066713,5304-631-010,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,17,2,null,1,1,934.78,2/26/2021,2/5/2021,ID9,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30178774,180-0042,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,20,2,null,1,1,54.02,2/26/2021,2/5/2021,ID9,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30178940,180-0275,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,11,2,null,1,1,94.18,2/26/2021,2/5/2021,ID9,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30179181,5300-178-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,15,2,685,1,null,96.26,2/26/2021,2/5/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,3/29 Teams
+,2/5/2021,30179220,5304-541-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,16,2,683,1,null,627.83,2/26/2021,2/5/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,3/29 Teams
+,2/5/2021,30179229,5321-101-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,18,2,600,2,2,28.92,2/26/2021,2/5/2021,ID3,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30179234,5324-111-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,12,2,634,1,1,897.82,2/26/2021,2/5/2021,ID3,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30179274,540-0064,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,13,2,683,1,1,326.34,2/26/2021,2/5/2021,ID3,null,null,null,null,null,G,"Blocked, need line 15/16","3/29 Teams
3/18 Inventory error.  Need to make new"
+,2/5/2021,30179328,748-0005,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2137956,14,2,null,1,1,13.42,2/26/2021,2/5/2021,ID9,null,null,null,null,null,G,"Blocked, need line 15/16",3/29 Teams
+,2/5/2021,30179258,5369-631-011,CENTURY TECH INC,NORM,A,2137914,10,2,633,1,null,248.86,3/5/2021,2/8/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,"3/19 Teams
4/6: Work order given to Seth to schedule in 635"
+,2/2/2021,30189682,5371-273-055,SERMI INC,NORM,A,2135616,590,2,681,1,null,1995.17,4/7/2021,2/10/2021,ID4,110-0333,None,None,None,None,"Y
WD",WO# 11226390 1 PC,"3/18: Kitted short???
3/24: Short 798-0259 to be machined 2nd shift
3/29: Unit pulled offline, need ME assistance
4/7: Housing to be remade"
+,2/15/2021,30189025,5301-749-001,APPLIED INDUSTRIAL TECH,NORM,A,2142755,10,2,683,2,null,322.36,8/5/2021,2/16/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,3/25/2021,30179274,540-0064,APPLIED INDUSTRIAL TECH,NORM,A,2163643,14,2,683,1,1,326.34,4/12/2021,3/26/2021,ID3,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,2/17/2021,30179258,5369-631-011,MOTION INDUSTRIES INC,NORM,A,2143720,10,2,633,1,null,416.26,3/17/2021,2/17/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,3/24 Teams
+,2/16/2021,30188229,5154-170-002,MOTION INDUSTRIES INC,NORM,A,2143375,10,2,170,20,null,12365.6,4/5/2021,2/17/2021,ID4,null,null,null,null,null,Y,WO# 11271710 20 PCS ,3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,2/16/2021,30188246,5154-541-010,MOTION INDUSTRIES INC,NORM,A,2143375,20,2,170,20,20,1838.4,4/5/2021,2/17/2021,ID4,null,null,null,null,null,G,"Ship complete, need line 10","Ship complete, need line 10"
+,2/5/2021,30189025,5301-749-001,WARNER ELECTRIC EUROPE,NORM,A,2138054,150,2,683,2,null,149.28,7/28/2021,2/17/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,2/17/2021,30189394,5370-273-115,WAJAX INDUSTRIAL COMPONENTS,NORM,A,2143478,10,2,681,1,null,1338.2,3/10/2021,2/17/2021,ID4,110-0332,None,None,None,None,"R
WD","WO# 11241987 1 PC
Need 5370-631-003 (kanban)","3/5 Teams
3/4: Order give to Karen to pull
3/18: Pulled short; 5370-451-085 & 5370-631-003"
+,1/21/2021,30179181,5300-178-001,SARR INDUSTRIES INC,NORM,A,2129931,30,2,685,2,null,75.5,3/16/2021,2/19/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,"2/26  Teams
3/2: Customer notified that we cannot provide ship date for this part until material issue resolved."
+,1/21/2021,30179182,5300-541-001,SARR INDUSTRIES INC,NORM,A,2129931,60,2,683,2,null,236.86,3/16/2021,2/19/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,2/26  Teams
+,1/21/2021,30179190,5300-631-002,SARR INDUSTRIES INC,NORM,A,2129931,50,2,633,1,1,113.02,3/16/2021,2/19/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 30/60",2/26  Teams
+,2/16/2021,30189872,5391-170-009,MOTION INDUSTRIES INC,NORM,A,2143132,10,1,682,1,null,981.83,2/19/2021,2/19/2021,ID3,null,null,null,null,null,Y,WO# 11247053 5 PCS @ 682,null
+,2/11/2021,30189392,5370-273-107,IBT,NORM,A,2141181,10,2,681,1,null,1338.2,3/4/2021,2/21/2021,ID4,110-0332,None,None,None,None,"R
WD","WO# 11239023 2 PC
Need 5370-631-003 (kanban)","3/19 Teams
3/4: Order given to Karen to pull
3/18: Order pulled short; 5370-451-085 & 5370-631-003"
+,2/22/2021,30178815,180-0128,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,11,2,null,1,1,44.93,3/8/2021,2/23/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 14/15",3/31 Teams
+,2/22/2021,30179013,5102-101-001,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,17,2,600,2,2,13.16,3/8/2021,2/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",3/31 Teams
+,2/22/2021,30179076,5200-101-009,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,13,2,600,3,3,35.49,3/8/2021,2/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",3/31 Teams
+,2/22/2021,30179180,5300-111-002,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,12,2,634,1,1,116.86,3/8/2021,2/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",3/31 Teams
+,2/22/2021,30179181,5300-178-001,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,14,2,685,1,null,96.26,3/8/2021,2/23/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,3/31 Teams
+,2/22/2021,30179182,5300-541-001,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,15,2,683,1,null,276.57,3/8/2021,2/23/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,3/31 Teams
+,2/22/2021,30179191,5300-631-003,BROWN BEARING & DRIVE SOLUTION,NORM,A,2146176,16,2,633,1,1,292.84,3/8/2021,2/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 14/15",3/31 Teams
+,2/15/2021,30188314,5161-271-037,SIGNODE PARTS & SERVICE,NORM,A,2142566,10,2,682,5,3,2492.35,3/8/2021,2/23/2021,ID3,null,null,null,null,null,R,Need 5161-751-017 wo# 11216083 20 PCS @ plate (due 4/21)/633/684,"3/22: 5161-800-001 received; released 5161-451-004
3/25: 5161-451-004 to stock
4/8 Requested expedite on 5161-751-017 from plate"
+,2/12/2021,30189392,5370-273-107,IBT,NORM,A,2141925,10,2,681,1,null,1338.2,3/5/2021,2/24/2021,ID4,110-0332,None,None,None,None,"R
WD","WO# 11239023 2 PC
Need 5370-631-003 (kanban)","3/8 Teams
3/4: Order given to Karen to pull
3/18: Order pulled short; 5370-451-085 & 5370-631-003"
+,2/25/2021,30190328,5633-273-019,APPLIED INDUSTRIAL TECHNOLOGIE,NORM,A,2148090,10,2,684,1,null,1361.1,5/3/2021,2/25/2021,ID3,null,null,null,null,null,R,Need 5633-111-004 wo# 11256370 10 PC@ 606,3/17 Teams
+,1/25/2021,30188314,5161-271-037,SIGNODE PARTS & SERVICE,NORM,A,2131181,10,1,682,5,null,2492.35,3/1/2021,3/1/2021,ID3,null,null,null,null,null,R,Need 5161-751-017 wo# 11216083 20 PCS @ plate (due 4/21)/633/684,"3/22: 5161-800-001 received; released 5161-451-004
3/25: 5161-451-004 to stock
4/8: 5161-111-005 to stock; requested expedite on 5161-751-017 from plate"
+,2/26/2021,30189025,5301-749-001,MOTION INDUSTRIES INC,NORM,A,2148980,40,2,683,1,null,161.18,8/18/2021,3/1/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,3/1/2021,30179181,5300-178-001,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2149811,10,2,685,4,null,385.04,3/8/2021,3/2/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/1/2021,30189298,5370-169-244,MOTION INDUSTRIES INC,NORM,A,2149751,10,2,681,2,null,1728.32,3/15/2021,3/2/2021,ID4,110-0332,None,None,258-1226,None,Y,WO# 11259150 2 PCS,null
+,3/2/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2150445,10,2,685,41,null,2848.27,3/9/2021,3/3/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/2/2021,30179181,5300-178-001,WARNER ELECTRIC EUROPE,NORM,A,2150237,10,2,685,3,null,57.75,3/9/2021,3/3/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,4/13 Teams
+,3/2/2021,30179182,5300-541-001,MOTION INDUSTRIES INC,NORM,A,2150719,20,2,683,2,null,553.14,3/16/2021,3/3/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,3/29 Teams
+,2/18/2021,30179258,5369-631-011,SIGNODE PARTS & SERVICE,NORM,A,2144788,10,2,633,1,null,494.31,3/18/2021,3/3/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,null
+,3/2/2021,30187983,5103-271-017,KAMAN INDUSTRIAL TECH,NORM,A,2150572,10,2,682,60,null,17685.6,4/19/2021,3/3/2021,ID3,null,null,null,null,null,R,Need 5103-111-023 wo# 11265131 19 PCS @ 634-/-689-1030 wo# 11265133 60 PCS @ 683,null
+,2/18/2021,30189025,5301-749-001,WARNER ELECTRIC EUROPE,NORM,A,2144676,20,2,683,1,null,74.64,8/10/2021,3/3/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,3/3/2021,30189427,5370-273-254,APPLIED INDUSTRIAL TECH,NORM,A,2151041,30,2,681,1,null,1359.19,3/10/2021,3/3/2021,ID4,110-0332,"800-0372
5370-451-209",None,258-1223,258-1226,Y,WO# 11260471 1 PC,null
