Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2023-11-07T04:28:54.071-08:00,623941,Kitting,5370-273-214,0,Model Value Stream,600,90,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T04:39:56.303-08:00,623943,Kitting,5370-273-214,0,Model Value Stream,600,127,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T04:48:20.250-08:00,623944,Kitting,5370-273-214,0,Model Value Stream,600,95,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T05:05:50.646-08:00,623945,Kitting,5370-273-214,0,Model Value Stream,600,159,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T05:22:49.782-08:00,623946,Kitting,5370-273-214,0,Model Value Stream,600,92,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T07:51:42.242-08:00,623952,Kitting,5370-273-214,0,Model Value Stream,600,118,0,,,,5370-273-214_C/B UM-180-1020 90V GEN2
2023-11-07T08:04:51.838-08:00,623354,Kitting,5371-273-003,0,Model Value Stream,720,169,0,,,,5371-273-003_CL/BK UM-210-1020 90V
2023-11-07T08:08:55.502-08:00,623355,Kitting,5371-273-003,0,Model Value Stream,720,191,0,,,,5371-273-003_CL/BK UM-210-1020 90V
2023-11-07T10:04:00.668-08:00,623379,Kitting,5371-273-003,0,Model Value Stream,720,174,0,,,,5371-273-003_CL/BK UM-210-1020 90V
2023-11-07T09:26:59.404-08:00,623707,Hub-Shaft-Armature Assembly,5371-273-045,8.616322,Model Value Stream,720,942,517,Not knowing what shaft to make- no flow ,Long Machining Cycle Time,,5371-273-045_CL BK UM-215-2030 90V
2023-11-07T04:57:27.092-08:00,623889,Housing Assembly,5370-273-248,0,Model Value Stream,600,331,0,,,,5370-273-248_C/B UM-100-1020FBC 24V GEN2
2023-11-07T05:39:31.680-08:00,623872,Final Assembly,5370-169-204,0,Model Value Stream,360,94,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-11-07T04:46:43.642-08:00,623408,Final Assembly,5370-169-258,0,Model Value Stream,720,3,0,,,,5370-169-258_BK EM-180-20MBFB 24V GEN12
2023-11-07T05:29:51.018-08:00,623888,Final Assembly,5370-273-209,0,Model Value Stream,600,32,0,,,,5370-273-209_C/B UM-100-1020 90V GEN2
2023-11-07T05:29:09.962-08:00,623890,Final Assembly,5370-273-248,0,Model Value Stream,600,198,0,,,,5370-273-248_C/B UM-100-1020FBC 24V GEN2
2023-11-07T07:31:19.637-08:00,623876,Final Assembly,5371-169-023,0,Model Value Stream,480,4,0,,,,5371-169-023_BK EM-210-20 90V
2023-11-07T09:13:18.983-08:00,623966,Final Assembly,5371-170-048,0,Model Value Stream,600,10,0,,,,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB"
2023-11-07T05:47:31.808-08:00,623872,Burnish and Inspection,5370-169-204,0,Model Value Stream,360,163,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-11-07T05:04:57.482-08:00,623408,Burnish and Inspection,5370-169-258,4.199832,Model Value Stream,720,612,252,Cycle times not meeting with other cells ,Incorrect Standard Work,,5370-169-258_BK EM-180-20MBFB 24V GEN12
2023-11-07T04:14:00.680-08:00,623726,Burnish and Inspection,5370-169-259,0,Model Value Stream,720,694,0,,,,5370-169-259-BK EM-180-20MBFB 90V GEN2
2023-11-07T04:55:56.195-08:00,623277,Pack Station,5370-169-272,0,Model Value Stream,720,77,0,,,,5370-169-272_GEN2 EUM-180-20MBFB 90V
2023-11-07T05:36:37.941-08:00,623890,Pack Station,5370-273-248,0,Model Value Stream,600,4,0,,,,5370-273-248_C/B UM-100-1020FBC 24V GEN2
2023-11-07T07:44:02.071-08:00,623681,Pack Station,5371-169-023,0,Model Value Stream,480,97,0,,,,5371-169-023_BK EM-210-20 90V
2023-11-07T09:16:14.449-08:00,623966,Pack Station,5371-170-048,0,Model Value Stream,600,94,0,,,,"5371-170-048_EM-210/ERS-68, 90V,10 FT/LB"
2023-11-06T09:14:29.138-08:00,623872,Kitting,5370-169-204,0,Model Value Stream,360,74,0,,,,5370-169-204_BK EM-50-20 90V GEN2
2023-11-06T07:00:26.531-08:00,623277,Kitting,5370-169-272,0,Model Value Stream,720,258,0,,,,5370-169-272_GEN2 EUM-180-20MBFB 90V
2023-11-06T08:44:17.124-08:00,623888,Kitting,5370-273-209,0,Model Value Stream,600,114,0,,,,5370-273-209_C/B UM-100-1020 90V GEN2
2023-11-06T08:15:01.561-08:00,623890,Kitting,5370-273-248,0,Model Value Stream,600,111,0,,,,5370-273-248_C/B UM-100-1020FBC 24V GEN2
2023-11-06T04:54:38.058-08:00,623757,Kitting,5370-273-323,0,Model Value Stream,600,116,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T05:05:47.113-08:00,623759,Kitting,5370-273-323,0,Model Value Stream,600,55,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T05:20:59.539-08:00,623760,Kitting,5370-273-323,0,Model Value Stream,600,128,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T05:52:31.490-08:00,623764,Kitting,5370-273-323,0,Model Value Stream,600,0,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T06:48:33.588-08:00,623766,Kitting,5370-273-323,0,Model Value Stream,600,143,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T10:05:03.722-08:00,623681,Kitting,5371-169-023,0,Model Value Stream,480,136,0,,,,5371-169-023_BK EM-210-20 90V
2023-11-06T10:14:33.611-08:00,623877,Kitting,5371-169-023,0,Model Value Stream,480,114,0,,,,5371-169-023_BK EM-210-20 90V
2023-11-06T11:04:24.113-08:00,623825,Kitting,5371-169-078,0.683306,Model Value Stream,900,325,41,N/A,Incorrect Kitting Standard Time,,5371-169-078_BK EUM-210-20FBB-32 90V LK
2023-11-06T04:34:00.643-08:00,623676,Hub-Shaft-Armature Assembly,5370-169-214,0,Model Value Stream,360,16,0,,,,5370-169-214_BK EM-180-20 90V GEN2
2023-11-06T11:16:13.682-08:00,623726,Hub-Shaft-Armature Assembly,5370-169-259,0,Model Value Stream,720,103,0,,,,5370-169-259-BK EM-180-20MBFB 90V GEN2
2023-11-06T06:07:36.642-08:00,623869,Hub-Shaft-Armature Assembly,5370-169-278,0,Model Value Stream,720,4,0,,,,5370-169-278_BK EM-50-20FBB 24V GEN2
2023-11-06T04:34:27.569-08:00,623882,Hub-Shaft-Armature Assembly,5370-169-289,0,Model Value Stream,720,6,0,,,,5370-169-289_BK EM-180-20FBB 90V GEN2
2023-11-06T05:17:05.747-08:00,623874,Hub-Shaft-Armature Assembly,5370-270-204,0,Model Value Stream,360,12,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-11-06T09:25:22.351-08:00,623750,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,4,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T08:25:27.229-08:00,623757,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,19,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T09:04:26.802-08:00,623760,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,32,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T08:48:12.697-08:00,623762,Hub-Shaft-Armature Assembly,5370-273-323,0,Model Value Stream,600,2,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T12:05:57.537-08:00,623531,Housing Assembly,5370-169-272,0,Model Value Stream,720,463,0,,,,5370-169-272_GEN2 EUM-180-20MBFB 90V
2023-11-06T06:00:50.443-08:00,623884,Housing Assembly,5370-273-204,0,Model Value Stream,600,4,0,,,,5370-273-204_C/B UM-50-1020 90V GEN2
2023-11-06T11:09:02.681-08:00,623759,Housing Assembly,5370-273-323,4.766476,Model Value Stream,600,886,286,Forgot to validate ,Operator Error/Mistake,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T09:19:41.745-08:00,623762,Housing Assembly,5370-273-323,0,Model Value Stream,600,9,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T04:22:37.426-08:00,623728,Final Assembly,5370-169-262,0,Model Value Stream,360,335,0,,,,5370-169-262_BK EUM-180-20FBB-LK 90 GEN2
2023-11-06T05:26:44.265-08:00,623883,Final Assembly,5370-169-289,0,Model Value Stream,720,3,0,,,,5370-169-289_BK EM-180-20FBB 90V GEN2
2023-11-06T06:15:17.342-08:00,623886,Final Assembly,5370-273-204,0,Model Value Stream,600,168,0,,,,5370-273-204_C/B UM-50-1020 90V GEN2
2023-11-06T10:53:58.143-08:00,623750,Final Assembly,5370-273-323,0,Model Value Stream,600,1,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T08:47:55.691-08:00,623757,Final Assembly,5370-273-323,0,Model Value Stream,600,103,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T04:54:31.120-08:00,623728,Burnish and Inspection,5370-169-262,24.365692,Model Value Stream,360,1822,1462,Mbrain pick list incorrect- causing confusion on line ,MBrain Error,,5370-169-262_BK EUM-180-20FBB-LK 90 GEN2
2023-11-06T05:41:05.385-08:00,623874,Burnish and Inspection,5370-270-204,0,Model Value Stream,360,5,0,,,,5370-270-204_CL EM-50-10 90V GEN2
2023-11-06T05:09:59.003-08:00,623870,Burnish and Inspection,5370-270-229,0,Model Value Stream,360,315,0,,,,5370-270-229_CL EM-180-30 90V GEN2
2023-11-06T11:26:57.289-08:00,623751,Burnish and Inspection,5370-273-323,0,Model Value Stream,600,364,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T08:14:32.037-08:00,623755,Burnish and Inspection,5370-273-323,0,Model Value Stream,600,462,0,,,,5370-273-323_HD C/B UM180-1020 90V GEN2
2023-11-06T08:06:38.305-08:00,623765,Burnish and Inspection,5370-273-323,3.033212,Model Value Stream,600,782,182,"Wait for housing- rest Break, TL do housing assembly ",Punctuality/Attendance ,,5370-273-323_HD C/B UM180-1020 90V GEN2
